"Class Catalogue - Class Search Results"

"Search Type:","Class Search"
"Session:","Academic Year 2021/2022"
"Credit Scheme:","Strathclyde Standard 2003 and after"
"Classification:","Postgraduate"


"CODE","TITLE","CREDITS","LEVEL","UG/PG/CE","SEMESTER","EXCHANGE","ELECTIVE",
"B9997","Practice & Self-Development: Becoming A Pc Counsellor & Psychotherapist","30","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"L8903","Practice 1","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MP907","Practice Portfolio","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MP905","Prescribing And Public Health","5","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3855","Principles And Policy In Practice","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3997","Principles And Policy In Practice 2","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"CL939","Principles Of Research Methodology And Research Design","10","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"DM744","Product Costing And Financial Management","10","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3940","Professional And Ethical Issues In Adult Guidance","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"EC952","Professional Development For Economists","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"B9996","Professional Development In Person-Centred Counselling And Psychotherapy","30","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"SF932","Professional Development Review - Review Reflection And Planning","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3836","Professional Enquiry","40","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"LL953","Professional Enquiry And Development","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X9636","Professional Enquiry And Development","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3804","Professional Inquiry For International Teachers","20","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"MG934","Professional Management Practice","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"Z1971","Professional Management Practice","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3854","Professional Placement","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"C8989","Professional Practice","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"M9815","Professional Practice And Ethics","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"LL927","Professional Practice And Methodologies 1","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"C8959","Professional Practice And Placement","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"19900","Project","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"94900","Project","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"BE907","Project","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"CL980","Project","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"CP936","Project","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"CP961","Project","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MG924","Project","40","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MG970","Project","40","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"PH952","Project","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"CL944","Project In Environmental Engineering","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"CL930","Project In Environmental Entrepreneurship","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EV900","Project Or Dissertation","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"PH951","Project Training","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"94905","Prosthetic Studies","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"LL954","Psychology Of Workplace Activities","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X2906","Qualitatative Data Analysis In Educational And Social Research","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"CL986","Qualitative And Quantitative Research Methods","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MP802","Quality Improvement Methodology","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"MS801","Quantitative Business Analysis","10","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"MS942","Quantitative Business Data Analysis","5","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"X2905","Quantitative Data Analysis In Educational And Social Research","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"LL945","Repositories, Geography And Administration 1","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3840","Research Bidding And Design - Getting Started","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"C8982","Research Design And Analyses In Psychology","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"C8926","Research Design And Analyses In Psychology (Pt)","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"RD903","Research Governance And Organisation","10","Level 6","Postgraduate","Full Year 2021/2022","N","EO",
"94938","Research Methodology","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"HR945","Research Methods And Dissertation","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"CS973","Research Methods For Professional Doctorates","60","Level 6","Postgraduate","Full Year 2021/2022","N","NE",
"BF809","Research Project","30","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"BF929","Research Project","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"LL916","Research Project","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MP929","Research Project","60","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EE964","Research Skills","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MP804","Research Skills","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"PP904","Research Skills 2 / Pdp","5","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"CS534","Research Skills For Research Students In Computer & Information Sciences","15","Level 6","Postgraduate","Full Year 2021/2022","N","NE",
"MM901","Research Skills Training 1","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MM902","Research Skills Training 2","15","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"BM512","Research Topics In Pharmacology","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"CH902","Research Training And Instruction","25","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"RD904","Researcher Engagement, Influence And Impact","10","Level 6","Postgraduate","Full Year 2021/2022","N","EO",
"RD901","Researcher Knowledge And Intellectual Abilities","20","Level 6","Postgraduate","Full Year 2021/2022","N","EO",
"RD902","Researcher Personal Effectiveness","10","Level 6","Postgraduate","Full Year 2021/2022","N","EO",
"RD905","Researcher Professional Development Elective","10","Level 6","Postgraduate","Full Year 2021/2022","N","EO",
"RD906","Researcher Professional Development For Mphil","20","Level 6","Postgraduate","Full Year 2021/2022","N","EO",
"MP970","Researcher Skills Training 2","15","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"BF819","Responsible Research And Innovation","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"EE804","Role Of Demand And Customers In Smart Grid Operation","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MP809","Scientific Writing","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"EE987","Sensor Technologies","20","Level 5","Postgraduate","Full Year 2021/2022","Y","NE",
"EE985","Software Engineering","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"AB966","Special Study Project 5","20","Level 5","Postgraduate","Full Year 2021/2022","Y","NE",
"BF977","Special Topics 1","20","Level 6","Postgraduate","Full Year 2021/2022","N","PE",
"BF978","Special Topics 2","20","Level 6","Postgraduate","Full Year 2021/2022","N","PE",
"BF979","Special Topics 3","20","Level 6","Postgraduate","Full Year 2021/2022","N","PE",
"CS972","Specialist Knowledge","60","Level 6","Postgraduate","Full Year 2021/2022","N","NE",
"X3803","Stem Education And Public Engagement: Vertically Integrated Project","20","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"MG923","Strategic Consulting In Practice","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3828","Strategic Leadership (Distance)","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"GB879","Strategic Management For Sustainable Success","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MG850","Strategic Procurement Management","10","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"MG849","Strategic Supply Chain Management","10","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"MG851","Strategic Supply Chain Management","10","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"DM720","Strategic Technology Management","10","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"MG872","Strategic Thinking For Global Challenges And Opportunities","10","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"MG921","Strategy, Analysis And Evaluation","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3816","Student Thinking And Learning In Science","20","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"X9799","Supporting Professional Learning In The Workplace","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3810","Supporting Teacher Learning Of Cognitively Guided Instruction","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"L5961","Systemic Practice In A Work Context","10","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"DM793","Systems Architectures And Design","10","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"MG845","Systems Availability & Maintenance","10","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"DM794","Systems Engineering Concepts","10","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"DM745","Systems Thinking And Modelling","10","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X9735","Teaching And Learning Online","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3813","Teaching And Learning Steam Subjects","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"M9975","Telecommunications Law","20","Level 5","Postgraduate","Full Year 2021/2022","Y","NE",
"L8913","The Child In Kinship Care","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MB901","The Future Of Fintech","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"L8911","The Kinship Care Context In Scotland","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3973","The Knowledge Exchange Challenge","20","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"M9920","The World Trading System: Law And Policy","20","Level 5","Postgraduate","Full Year 2021/2022","Y","NE",
"B9998","Theoretical Foundations In The Pc Approach In Counselling &Psychotherapy","30","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"B9999","Theoretical Issues In Person-Centred Counselling And Psychotherapy","30","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X7798","Theory And Practice 2: The Spectrum Of Autism","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3945","Theory And Practice 2: The Spectrum Of Autism (Dl)","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"MP904","Therapeutics","5","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3974","Understanding And Exploring Knowledge Exchange","20","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X3972","Understanding External Organisations","20","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"CL526","Urban Water Supply And Drainage Systems","10","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"EE823","Vertically Integrated Project For Ultrasonic Engineering","20","Level 6","Postgraduate","Full Year 2021/2022","N","NE",
"X3829","What Is Creativity? Theory, Policy And Curriculum","20","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"X9650","Widening Participation From School To Higher Education","20","Level 5","Postgraduate","Full Year 2021/2022","N","EO",
"EE977","Wind Energy And Distributed Energy Resources","20","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"EE984","Wind Turbine Control","10","Level 5","Postgraduate","Full Year 2021/2022","Y","PE",
"EE989","Wind Turbine Technology","20","Level 5","Postgraduate","Full Year 2021/2022","Y","NE",
"X3932","Work Based Learning 3","40","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"X9639","Work Discussion And Institutional Processes","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"CS806","Work-Based Learning In Information Security","30","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"X3824","Work-Based Project (Distance)","40","Level 5","Postgraduate","Full Year 2021/2022","N","PE",
"EF924","Writing For Peer Reviewed Journals Workshops","10","Level 6","Postgraduate","Full Year 2021/2022","N","NE",
"X9643","Young Child Observation","20","Level 5","Postgraduate","Full Year 2021/2022","N","NE",
"OB904","Operations Management & Business Analytics","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"SD901","Account Management & Customer Relations","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"AG911","Accounting And Financial Analysis","20","Level 6","Postgraduate","Semester 1 2021/22","N","NE",
"AG939","Accounting For Engineers","10","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"MP822","Active Pharmaceutical Ingredients","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"MP803","Advanced Clinical Assessment And Consultation Skills","20","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"AB998","Advanced Construction Technologies","10","Level 5","Postgraduate","Semester 1 2021/22","Y","EO",
"EE878","Advanced Dsp 1","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"CS813","Advanced Information Security","15","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"NM962","Advanced Marine Structures","10","Level 5","Postgraduate","Semester 1 2021/22","Y","PE",
"ME978","Advanced Materials Processing And Manufacturing","10","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"V1987","Advanced Oral History","20","Level 5","Postgraduate","Semester 1 2021/22","Y","EO",
"MS969","Advanced Project Management","10","Level 5","Postgraduate","Semester 1 2021/22","Y","NE",
"L5974","Advanced Project Module","20","Level 5","Postgraduate","Semester 1 2021/22","N","EO",
"MP968","Advanced Techniques In 'In Vivo' Biology","10","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"MP942","Advanced Techniques In Biomedical Research 1","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"MP805","Advanced Therapeutics And Health Innovations","20","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"CS814","Ai For Autonomous Systems","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"CL971","Air Pollution, Climate Change And Human Health","10","Level 5","Postgraduate","Semester 1 2021/22","Y","PE",
"MP824","Analysis And Testing","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"MG928","Analytical Support For Decision Making","10","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"CH917","Analytical Techniques For Industry","30","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"BM924","Applied Biocatalysis","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"AB979","Architectural And Construction History","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"NM807","Arctic Technology","12","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"LL948","Benchmarking Safety And Risk Management Activities","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"CS818","Big Data Fundamentals","10","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"CS819","Big Data Fundamentals","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"CS989","Big Data Fundamentals","10","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"L2977","Big Data Fundamentals","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"CS982","Big Data Technologies","20","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"CS817","Big Data Tools And Techniques","10","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"CS988","Big Data Tools And Techniques","10","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"BE926","Biofluid Mechanics","20","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"BE909","Biomedical Electronics","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"BE908","Biomedical Instrumentation","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"MK983","Brand Management And Strategy","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"V1912","Britain, France And The Usa 1945-1958 Diplomacy, Strategy And Alliance","20","Level 5","Postgraduate","Semester 1 2021/22","Y","NE",
"MS817","Business And Decision Modelling","10","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"MS985","Business And Decision Modelling","10","Level 5","Postgraduate","Semester 1 2021/22","Y","NE",
"M9801","Business And Financial Awareness","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"Z1944","Business Essentials For Innovators","10","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"MS807","Business Information Systems","10","Level 5","Postgraduate","Semester 1 2021/22","N","EO",
"L2971","Business Models, Financing And Urban Business Case","10","Level 5","Postgraduate","Semester 1 2021/22","Y","PE",
"MG927","Business Operations","10","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"Z1963","Business Operations","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"MS805","Business Simulation Methods","10","Level 5","Postgraduate","Semester 1 2021/22","N","EO",
"Z1962","Business Strategy","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"Z1965","Business Strategy","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"M8907","Carbon Markets And Climate Finance","20","Level 5","Postgraduate","Semester 1 2021/22","N","EO",
"CH921","Carbon Pricing","10","Level 5","Postgraduate","Semester 1 2021/22","N","EO",
"MS977","Case Studies In Supply Chain Management","10","Level 5","Postgraduate","Semester 1 2021/22","N","EO",
"MP812","Chemical Analysis: Principles, Applications And Methods","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"L5904","Child And Youth Care Studies: Interventions","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"L5906","Child And Youth Care Studies: Management And Leadership","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"L5912","Child And Youth Care Studies: Theoretical And Policy Contexts","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"X9642","Child Development Research","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"X3811","Children'S Development In Numeracy: An Introduction To Cgi","20","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"C8980","Chip And Individual Differences (Autumn)","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"L2967","City Systems And Infrastructure","10","Level 5","Postgraduate","Semester 1 2021/22","Y","PE",
"LL943","Civil And Church Records 1","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"CL966","Civil Engineering Design Project B","20","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"M9802","Civil Litigation","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"CP969","Clean Combustion Technologies","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"CL929","Client-Based Environmental Entrepreneurship In Practice","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"M9883","Climate And Energy Finance","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"MP924","Clinical Assignment 1","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"MP923","Clinical Induction","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"MP997","Clinical Pharmacy Management","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"C8953","Clinical Psychology Related To Medical Conditions","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"M9831","Commercial Law","10","Level 5","Postgraduate","Semester 1 2021/22","N","EO",
"M9851","Commercial Management","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"MG831","Commercial Management In Projects","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"Z1967","Commercial Management In Projects","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"P3968","Communication And Media Theory In An International Context","20","Level 5","Postgraduate","Semester 1 2021/22","Y","NE",
"EE705","Communications And The Smart Grid","10","Level 5","Postgraduate","Semester 1 2021/22","N","EO",
"M9858","Comparative Climate Change Law","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"HR919","Comparative Employment Relations","20","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"L2992","Comparative Political Economy","20","Level 5","Postgraduate","Semester 1 2021/22","N","EO",
"L2993","Comparative Political Institutions","20","Level 5","Postgraduate","Semester 1 2021/22","Y","PE",
"M9923","Competition Law And Policy In The Eu","20","Level 5","Postgraduate","Semester 1 2021/22","Y","NE",
"CS965","Computer Security","20","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"CS808","Computer Security Fundamentals","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"X3832","Conceptions Of Leadership","20","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"EE781","Concepts In Signal And Image Processing","15","Level 6","Postgraduate","Semester 1 2021/22","N","NE",
"Z1966","Consulting In Practice","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"MK972","Consumer Behaviour","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"CL954","Contaminated Land","10","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"B1909","Contemporary Debates In Physical Activity For Health","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"HR961","Contemporary Employment Relations","20","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"L2963","Contemporary Security Challenges And Responses","20","Level 5","Postgraduate","Semester 1 2021/22","Y","PE",
"AB992","Contract Administration And Practice","10","Level 5","Postgraduate","Semester 1 2021/22","N","EO",
"EE872","Control Principles 1","10","Level 5","Postgraduate","Semester 1 2021/22","Y","PE",
"M9819","Conveyancing","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"BM950","Core Neuroscience","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"X9854","Creating Stimulating Learning Environments: Indoors And Out","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"X3812","Creative Practice And Pedagogy","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"CW903","Creative Writing Skills Workshop: The Writing Life","20","Level 5","Postgraduate","Semester 1 2021/22","Y","PE",
"CW902","Creative Writing Workshop 2: The Shape Of Stories 2","20","Level 5","Postgraduate","Semester 1 2021/22","Y","PE",
"Z1980","Creativity And Venture Planning","20","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"M9820","Criminal Litigation","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"L5971","Critical Perspectives On Residential Child Care","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"MK975","Cross-Cultural Buyer Behaviour","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"MM921","Data Analysis And Statistical Methods For Researchers","15","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"X7808","Data Analysis In Educational Research","40","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"MM916","Data Analytics In R","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"MS981","Data Lab","10","Level 5","Postgraduate","Semester 1 2021/22","Y","NE",
"EE825","Data Transmission & Physical Layer Radio Networks","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"L2964","Debating International Relations Theory","20","Level 5","Postgraduate","Semester 1 2021/22","Y","PE",
"CS826","Deep Learning Theory And Practice","20","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"ME962","Degradation Of Metals And Alloys","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"EX963","Delivering The Circular Economy And The Bioeconomy","20","Level 5","Postgraduate","Semester 1 2021/22","N","EO",
"DM983","Design Form And Aesthetics","10","Level 5","Postgraduate","Semester 1 2021/22","Y","EO",
"EF927","Design Management","10","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"DM803","Design Management (Online)","10","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"DM934","Design Methods","10","Level 5","Postgraduate","Semester 1 2021/22","Y","PE",
"X9999","Design Strategies In Educational And Social Research","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"AB964","Design Studies 5a","20","Level 5","Postgraduate","Semester 1 2021/22","Y","NE",
"M8923","Developments And Challenges In The Law Of The Sea","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"P3964","Digital Communication And Society (Pgt)","20","Level 5","Postgraduate","Semester 1 2021/22","Y","EO",
"CS980","Digital Health Implementation","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"DM939","Digital Manufacturing","10","Level 5","Postgraduate","Semester 1 2021/22","Y","PE",
"DM804","Digital Manufacturing (Online)","10","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"EE669","Digital Signal Processing Principles","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"V1993","Diplomacy: Evolution, Theory And Practice","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"X7819","Dissertation","60","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"EC975","Economic Data Analysis","10","Level 5","Postgraduate","Semester 1 2021/22","Y","NE",
"EC950","Economic Modelling","10","Level 5","Postgraduate","Semester 1 2021/22","N","EO",
"EC972","Economic Modelling","10","Level 6","Postgraduate","Semester 1 2021/22","N","EO",
"X9998","Educational And Social Research And Enquiry","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"X3848","Educational Pespectives And Policies (Pk)","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"ME919","Electrical Power Systems","10","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"ME929","Electrical Power Systems","10","Level 5","Postgraduate","Semester 1 2021/22","Y","PE",
"CP972","Electrochemical Energy Devices","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"EE880","Embedded System Design 1","10","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"CP921","Emerging Technologies","10","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"X3962","Emotional Wellbeing In Autism","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"X3963","Emotional Wellbeing In Autism  (Dl)","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"HR911","Employee Reward","10","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"M9887","Employment Mediation (Online)","20","Level 5","Postgraduate","Semester 1 2021/22","N","EO",
"EC928","Energy Economics","10","Level 5","Postgraduate","Semester 1 2021/22","N","EO",
"EC960","Energy Economics","10","Level 5","Postgraduate","Semester 1 2021/22","N","EO",
"EC976","Energy Finance And Forecasting","10","Level 5","Postgraduate","Semester 1 2021/22","Y","NE",
"ME930","Energy Modelling And Monitoring","10","Level 5","Postgraduate","Semester 1 2021/22","Y","PE",
"ME927","Energy Resources And Policy","10","Level 5","Postgraduate","Semester 1 2021/22","Y","PE",
"ME928","Energy Systems Analysis","10","Level 5","Postgraduate","Semester 1 2021/22","Y","PE",
"EC977","Energy Technologies, Impacts And Implementation","10","Level 5","Postgraduate","Semester 1 2021/22","Y","NE",
"M8918","Engaging With Materials Used In Legal Research","20","Level 5","Postgraduate","Semester 1 2021/22","N","EO",
"BE911","Engineering Science","20","Level 5","Postgraduate","Semester 1 2021/22","N","NE",
"X3861","English Language Teaching And Internationalisation","20","Level 5","Postgraduate","Semester 1 2021/22","Y","EO",
"DM987","Entrepreneurial Business Creation","10","Level 5","Postgraduate","Semester 1 2021/22","Y","PE",
"EX919","Entrepreneurial Finance","15","Level 5","Postgraduate","Semester 1 2021/22","N","EO",
"P3983","Entrepreneurial Journalism And Innovation","20","Level 5","Postgraduate","Semester 1 2021/22","Y","EO",
"DM988","Entrepreneurial Management","10","Level 5","Postgraduate","Semester 1 2021/22","Y","PE",
"Z1931","Entrepreneurship, Innovation And Commercialization","10","Level 5","Postgraduate","Semester 1 2021/22","N","PE",
"EC959","Environmental Economics","10","Level 5","Postgraduate","Semester 1 2021/22","N","EO",
